county,coordinates,percpopbroad,percpopwobroad,pctdsgt15000kandlt25000k_hi,pctdsgt25000kandlt50000k_hi,pctdsgt50000kandlt100000k_hi,pctdsgt100000kandlt1gig_hi,pctdsgt1gig_hi,dsgteq25,usgteq3,povpct,unemployment,,,,,,
Ashland County,  (-82.27061921691867 40.84592901256103),72,28,28,0.4,13.8,57.8,0,72,72.2,14.6,7.5,,,,,,
Grundy County,  (-85.7223702896868 35.38842989884835),83.3,16.7,16.7,4.3,2.8,75.6,0.6,83.3,100,26.1,9.5,,,,,,
York County,  (-97.59710186149152 40.872726177009454),85.7,14.3,14.1,74.3,11.6,0,0,85.9,85.7,10.6,3.7,,,,,,
Yakima County,  (-120.73873867930718 46.45687520632981),100,0,0,15.9,0.1,83.9,0.1,100,100,20.5,9.2,,,,,,
Vigo County,  (-87.38969714657672 39.43073114327588),90.8,9.2,9.2,2.5,88.3,0,0,90.8,100,20.2,9.5,,,,,,
Montgomery County,  (-83.91291350871116 38.032564716069054),90.6,9.4,9.4,0.3,90.2,0.1,0,90.6,100,20.8,8.2,,,,,,
Pershing County,  (-118.40476571200846 40.439522879858),0,100,100,0,0,0,0,0,100,18.5,9.9,,,,,,
Benton County,  (-93.99843590255371 45.69827622538936),79.8,20.2,17.3,11.9,0.3,70.4,0.1,82.7,79.9,13.6,5.8,,,,,,
Desha County,  (-91.25394489795343 33.83346926123278),5.3,94.7,62.3,32.4,0,5.3,0,37.7,100,27.3,10.5,,,,,,
Grady County,  (-97.8836067106958 35.016332366894105),47.2,52.8,51,2.8,24.7,14.3,7.2,49,52.8,12.1,5.2,,,,,,
Kent County,  (-71.59305645493842 41.672008098796056),98.5,1.5,1.5,0,0,98.5,0,98.5,100,9.3,8.9,,,,,,
McHenry County,  (-100.63627828780973 48.23439817949446),70.4,29.6,26.3,39.4,0,34.3,0,73.7,100,12.3,3.9,,,,,,
Kauai County,  (-159.5957496373005 22.03978486732053),99.2,0.8,0.8,0,97.2,2,0,99.2,99.2,12.3,5.7,,,,,,
Jones County,  (-77.35562095855762 35.02185041800197),41.4,58.6,57.5,1.1,35.5,5.9,0,42.5,100,22.2,8.4,,,,,,
Mariposa County,  (-119.90531825598768 37.58143471524143),0.1,99.9,99.9,0.1,0,0,0,0.1,80.6,16.2,9.2,,,,,,
Metcalfe County,  (-85.62919820623478 36.9905206322381),1.3,98.7,98.7,0.1,0,1.2,0,1.3,100,25.2,8.7,,,,,,
Woodson County,  (-95.74071994964812 37.886680908036126),57.9,42.1,42.1,0,0,57.9,0,57.9,79.9,18.4,6.5,,,,,,
Mingo County,  (-82.13519084171028 37.72729193909526),25.6,74.4,72,4.3,0,15.7,8,28,100,28.1,11,,,,,,
Camden County,  (-81.67060271069033 30.930417912710304),92.9,7.1,7.1,26.7,0,18.6,47.7,92.9,100,12,8.5,,,,,,
Cheyenne County,  (-102.99495090706327 41.21970871163747),77.6,22.4,8.7,13.8,0,37.3,40.2,91.3,99.9,9,3.2,,,,,,
Clay County,  (-88.49033997889819 38.75410732994606),23.3,76.7,68.4,8.3,0,23.3,0,31.6,100,13.6,10.8,,,,,,
Mountrail County,  (-102.35570426534703 48.20129568901154),65.7,34.3,34.3,0,0,7.4,58.2,65.7,100,9.3,1.6,,,,,,
Rockwall County,  (-96.40769483984309 32.89785883691263),100,0,0,0,35.8,58.3,5.9,100,100,6.8,5.8,,,,,,
Lynn County,  (-101.81628494507046 33.17657705208724),60.2,39.8,39.8,42.3,14.1,3.7,0,60.2,98.1,18.3,5.8,,,,,,
Pickett County,  (-85.07476517420253 36.558188526428786),96.8,3.2,2.1,2.8,0.3,24.5,70.3,97.9,100,19.2,12.7,,,,,,
Hernando County,  (-82.42535430957167 28.554048934633382),93.8,6.2,6,0.3,0,93.7,0,94,93.8,15.3,9,,,,,,
Boise County,  (-115.7303210406055 43.98909247020152),28.6,71.4,71.4,0,28.6,0,0,28.6,100,15.6,7.3,,,,,,
Noxubee County,  (-88.56962272945024 33.110140598788725),0,100,100,0,0,0,0,0,100,31.3,15.5,,,,,,
Northampton County,  (-75.30735363487591 40.75446063492661),100,0,0,0,0,0.1,99.9,100,100,10,7.7,,,,,,
Lyon County,  (-95.83918760783627 44.41338502478964),73,27,27,0,0.3,72.7,0,73,76.6,11.5,4.2,,,,,,
Montgomery County,  (-89.61664558686168 33.49402718285482),69.4,30.6,30.6,0,69.4,0,0,69.4,100,24.7,11.4,,,,,,
Washakie County,  (-107.6823144975251 43.90437840609818),76.7,23.3,20.5,79.5,0,0,0,79.5,93.7,12.6,5,,,,,,
Phillips County,  (-90.84810680702459 34.42853288285945),78.9,21.1,19.1,2.7,0,61.4,16.8,80.9,100,35.3,11.2,,,,,,
Sumter County,  (-88.19904039089245 32.59104948791315),42.2,57.8,57.8,0,0,42.2,0,42.2,100,38.1,9.9,,,,,,
Washburn County,  (-91.79131494836491 45.89909724857625),49.9,50.1,44.1,7.3,1.5,47.2,0,55.9,100,13.4,7.7,,,,,,
Iroquois County,  (-87.82452536564344 40.74732578306792),47.8,52.2,51.9,4.3,0.3,43.4,0,48.1,100,15.8,8.4,,,,,,
Jefferson County,  (-88.92397205417329 38.3001927475576),60.2,39.8,39.8,0,0,60.2,0,60.2,100,19.5,8.9,,,,,,
Johnson County,  (-86.10174496290169 39.48995679720707),89.1,10.9,8.2,4.2,1,71.5,15,91.8,100,10.2,6.2,,,,,,
Taylor County,  (-90.50164471481078 45.211586078367475),38.8,61.2,60.9,4.4,0.2,34.5,0,39.1,100,11.7,7.1,,,,,,
Mercer County,  (-90.74108384482395 41.20543703945768),50.8,49.2,49.2,0.2,0,50.6,0,50.8,100,9.6,8.1,,,,,,
Clermont County,  (-84.15193439245657 39.04742036095298),99.4,0.6,0.6,0,71.9,0,27.5,99.4,99.4,11.2,7,,,,,,
San Juan County,  (-108.32060119027263 36.50824604543757),71,29,28.7,1.1,0.3,70,0,71.3,100,21,6.7,,,,,,
Lemhi County,  (-113.9335997950155 44.943627902136306),41.3,58.7,58.7,0,41.3,0,0,41.3,100,18.2,9.8,,,,,,
Kenton County,  (-84.53313887379183 38.933681181893384),99.2,0.8,0.8,0,68.6,0,30.6,99.2,100,15.5,7.1,,,,,,
Bradford County,  (-76.51565099573207 41.78867555899054),60.5,39.5,39.5,3.5,12.3,10.6,34.1,60.5,79.2,12.9,6.9,,,,,,
Chase County,  (-96.59423335012002 38.30203944760164),3.6,96.4,96.4,3.5,0,0,0,3.6,3.9,13.2,5,,,,,,
Van Buren County,  (-91.95043300892058 40.753087217409934),40.1,59.9,59.9,24.1,14.6,0,1.5,40.1,65.2,14.4,5.7,,,,,,
Autauga County,  (-86.64289976417412 32.53514228426749),77.6,22.4,22.4,0,0,77.6,0,77.6,100,13.1,5.7,,,,,,
Carroll County,  (-77.02256971621797 39.56320173541083),95.9,4.1,4.1,0,0,95.9,0,95.9,100,5.9,5.7,,,,,,
Iowa County,  (-90.13523894176069 43.00020827902142),66.9,33.1,33.1,0,0,66.8,0.1,66.9,100,8.9,6.2,,,,,,
Schuyler County,  (-92.52077830183433 40.47023215900504),0,100,100,0,0,0,0,0,0,18.2,6.4,,,,,,
Boone County,  (-88.82348511783148 42.32294195477981),93.2,6.8,6.8,2.9,0,90.3,0,93.2,100,10.2,11.5,,,,,,
Coahoma County,  (-90.60273114487809 34.22906962068721),72.5,27.5,27.5,0.2,72.3,0,0,72.5,100,35,13.1,,,,,,
Concordia Parish,  (-91.63992435595286 31.445770093420364),20.7,79.3,78.9,0.3,20.7,0,0,21.1,100,30.9,10,,,,,,
Door County,  (-87.31112969151658 44.950305223412094),59.4,40.6,39.6,1.7,0.4,58.3,0,60.4,100,11,9,,,,,,
Wagoner County,  (-95.52115154095284 35.96138606437781),89,11,11,15.6,0,72,1.4,89,89,9.8,5.2,,,,,,
Northumberland County,  (-76.41950914533841 37.88761669700451),69.2,30.8,30.8,0,69.2,0,0,69.2,100,14.3,7.8,,,,,,
Meagher County,  (-110.88560238747232 46.597975218604724),65.1,34.9,34.9,0,6.8,58.3,0,65.1,100,18,5.5,,,,,,
Auglaize County,  (-84.22168057660417 40.56085700581016),86,14,13.2,1.6,85.1,0,0,86.8,88.4,8.3,5.4,,,,,,
Moultrie County,  (-88.61929656606902 39.6413679392128),45.5,54.5,54.5,5.2,0.9,39.4,0,45.5,100,11.8,7.2,,,,,,
Fairbanks North Star Borough,  (-146.56236621061973 64.80837519540412),84,16,16,0,0,84,0,84,84,9.5,5.8,,,,,,
Kit Carson County,  (-102.60233003454572 39.305070958699076),5.6,94.4,93.2,6.7,0,0.1,0,6.8,99.3,14.9,4.2,,,,,,
Adair County,  (-92.60075269935179 40.19054871229679),74.5,25.5,25.5,1.1,73.4,0,0,74.5,74.8,26.9,5.4,,,,,,
Fulton County,  (-78.11276349453621 39.92545431663873),40.4,59.6,52.2,7.5,4.2,36.1,0,47.8,40.4,13.3,8.6,,,,,,
Codington County,  (-97.18860384396498 44.97790511774801),84.9,15.1,15.1,0,2.1,82.8,0,84.9,94.5,10.3,3.4,,,,,,
Madison Parish,  (-91.24181996083855 32.36512426363877),5.5,94.5,94.5,5.2,0.4,0,0,5.5,100,41.4,9.7,,,,,,
Charles Mix County,  (-98.58785039448817 43.20792726109734),31.1,68.9,68.9,3.1,28,0,0,31.1,45.3,24,4.3,,,,,,
Dearborn County,  (-84.97334479357883 39.14487646656155),90.7,9.3,8.4,3.8,0.7,86.4,0.6,91.6,100,11.7,7.8,,,,,,
Pettis County,  (-93.28474912014138 38.728258979848825),66,34,33.8,0.2,0,66.1,0,66.2,66.3,17.6,6.1,,,,,,
Plaquemines Parish,  (-89.62329285418106 29.434351820418645),57.7,42.3,42.3,23.7,28.7,5.3,0,57.7,100,16,5.8,,,,,,
Shelby County,  (-88.8059109139971 39.39127225775439),19.1,80.9,80.9,6.8,1.5,10.8,0,19.1,100,11.7,9.3,,,,,,
Benewah County,  (-116.6586206597895 47.2177296103171),0.6,99.4,99.4,0,0,0,0.6,0.6,100,15.7,10.5,,,,,,
Rusk County,  (-94.761833457914 32.10819843045584),42.5,57.5,57.5,0.8,7.9,15.1,18.7,42.5,71.9,16.6,6.1,,,,,,
Fayette County,  (-85.1784111605466 39.639833791429155),76,24,24,0.3,0.8,20.8,54.2,76,100,16.4,10.3,,,,,,
Sheridan County,  (-100.44182586554336 39.350181605819955),58.8,41.2,41.2,0,0,0,58.8,58.8,71,10.9,2.5,,,,,,
Roosevelt County,  (-103.4801987464967 34.02127231839045),69.6,30.4,30.4,0,0,69.6,0,69.6,100,24,5,,,,,,
Madison County,  (-95.92738963022425 30.96540306383727),14.3,85.7,85.7,14.3,0,0,0,14.3,100,21.5,6.3,,,,,,
Fayette County,  (-83.45608529597348 39.56023827318312),85.3,14.7,14.7,0,85.3,0,0,85.3,100,15.8,6.6,,,,,,
Cook County,  (-83.43069758693319 31.154086645066442),81.1,18.9,18.9,13.8,0,67.3,0,81.1,100,26.1,10,,,,,,
Hansford County,  (-101.3545796070616 36.277432840311164),63.5,36.5,36.5,0.1,63.3,0,0,63.5,99.8,12.7,3.7,,,,,,
Polk County,  (-94.82986498820118 30.792708530301667),3.3,96.7,55.3,41.4,0,0,3.3,44.7,84.8,18.5,7.9,,,,,,
Racine County,  (-88.0611186063985 42.74731284046459),97.4,2.6,2.6,0,95.7,0.1,1.7,97.4,100,13.1,8.6,,,,,,
Cimarron County,  (-102.51781109263962 36.748266316333144),3.5,96.5,96.5,0,3.5,0,0,3.5,3.6,18,3.9,,,,,,
Victoria County,  (-96.97135956423053 28.79607119797263),99.3,0.7,0.7,18.6,0,48.4,32.3,99.3,99.3,15.8,5.1,,,,,,
Powder River County,  (-105.63002381558832 45.39499877601156),0,100,100,0,0,0,0,0,100,12.3,3.7,,,,,,
Geauga County,  (-81.17872133118314 41.499724786680744),90.6,9.4,6.2,15.5,78,0,0.2,93.8,90.6,7.8,6.4,,,,,,
Orange County,  (-81.32311592079411 28.514292394158733),100,0,0,0,0,98.1,1.9,100,100,18.2,6.8,,,,,,
Norfolk County,  (-71.20690516358187 42.16246140383911),97.6,2.4,2.4,0,0,97.6,0,97.6,100,6.5,6,,,,,,
Pierce County,  (-99.97174952523675 48.249580636511844),96,4,4,0.7,0,95.3,0,96,100,11.6,4.5,,,,,,
Osceola County,  (-95.62422757558163 43.37868127037131),17.4,82.6,82.6,13.6,0,3.8,0,17.4,65.8,9.1,4.2,,,,,,
Hardin County,  (-88.26669526422869 37.518079768434944),0,100,100,0,0,0,0,0,100,20.6,12.3,,,,,,
Russell County,  (-98.76247877715318 38.91467636631635),98,2,2,3.4,15.7,0,79,98,98,13.3,4.3,,,,,,
Clay County,  (-85.86074430156849 33.26966940752118),36.8,63.2,59.1,4,0,36.8,0,40.9,100,19.5,8.2,,,,,,
Prince George County,  (-77.22446274574928 37.18648608628095),80.7,19.3,19.3,0,0,80.7,0,80.7,100,10.5,6.2,,,,,,
Harris County,  (-95.39302715315264 29.857488729758273),90.6,9.4,9.4,0.9,0,82.5,7.2,90.6,90.8,17.3,6.2,,,,,,
Yalobusha County,  (-89.7074564239209 34.02831011230442),53.3,46.7,46.7,0,52.1,1.2,0,53.3,100,23.4,9.3,,,,,,
Prowers County,  (-102.39327624462923 37.95519022355155),70.9,29.1,29.1,70.8,0,0,0,70.9,99.8,20.9,5.7,,,,,,
Pitkin County,  (-106.9159345012363 39.21732140714837),79.4,20.6,20.6,0.5,0.2,78.8,0,79.4,79.4,7,6.5,,,,,,
Milwaukee County,  (-87.96698810966234 43.00700657857158),100,0,0,0,100,0,0,100,100,22,8.3,,,,,,
Lincoln County,  (-81.22393811396533 35.48589556088429),99.9,0.1,0.1,0,0,99.9,0,99.9,100,16,8.3,,,,,,
Hamlin County,  (-97.1882959341076 44.67385953766033),41.8,58.2,58.2,0,4,37.8,0,41.8,56,10.4,3.7,,,,,,
Surry County,  (-76.90027516665612 37.10963660706636),4.4,95.6,95.6,0,0,4.4,0,4.4,100,12.9,7,,,,,,
Windham County,  (-72.71377523289489 42.990534640643745),64.1,35.9,35.9,0.3,0,56.6,7.2,64.1,100,12.9,4.5,,,,,,
Labette County,  (-95.29765463029919 37.191278718993566),58.5,41.5,41.5,0,51.4,7.1,0,58.5,58.5,18.3,7.5,,,,,,
Dakota County,  (-96.56465437147838 42.391084925603145),87.2,12.8,12.6,1.4,50.9,6,29.1,87.4,91.7,14.8,6.9,,,,,,
Benton County,  (-94.25598718255334 36.338737981299374),89,11,8.9,2.2,0.2,88.6,0,91.1,100,11.9,5.7,,,,,,
Lyon County,  (-96.1528042731432 38.4558091778237),79.8,20.2,20.2,3.1,33.3,43.4,0,79.8,79.8,18,6.9,,,,,,
Marshall County,  (-89.503063028787 34.76229046612031),51.2,48.8,48.8,0,21.2,30.1,0,51.2,100,21.5,10.4,,,,,,
Logan County,  (-86.87901935045981 36.859718798328714),100,0,0,0,0,97.7,2.3,100,100,16.9,7.1,,,,,,
Sitka City and Borough,  (-135.31517457038274 57.23393263236643),98.2,1.8,1.8,0,0,98.2,0,98.2,98.2,8.6,5.2,,,,,,
Schuyler County,  (-90.61538755380165 40.158163036384465),2.7,97.3,97.3,0,2.7,0,0,2.7,100,13.2,7.3,,,,,,
Hutchinson County,  (-97.75456287233202 43.3346631438209),99.8,0.2,0.2,97.1,0.4,2.4,0,99.8,99.8,13.2,3.3,,,,,,
Runnels County,  (-99.97616147601383 31.831434195379245),0,100,100,0,0,0,0,0,100,18.1,5.8,,,,,,
Franklin Parish,  (-91.67348178258766 32.133295477599994),0.2,99.8,99.8,0.2,0,0,0,0.2,100,29,10,,,,,,
Isanti County,  (-93.29470209051426 45.56125565124951),57.5,42.5,41.6,3.8,0.2,54.4,0,58.4,58.1,7.8,6,,,,,,
Washington Parish,  (-90.04035989193302 30.85339081034944),3.2,96.8,96.8,2.8,0,0.4,0,3.2,100,29.1,8.6,,,,,,
Lavaca County,  (-96.93033343318749 29.38395051817596),85,15,15,84.4,0.6,0,0,85,85,13.8,4.4,,,,,,
Coconino County,  (-111.77054926253808 35.838753508800195),61.1,38.9,38.7,1.1,7.2,38.2,14.8,61.3,61.1,21.3,8.1,,,,,,
Lamar County,  (-88.09715314579317 33.77909348828933),32.4,67.6,66,1.6,0,32.4,0,34,100,20.6,6.9,,,,,,
Bollinger County,  (-90.0256212783888 37.321918204612636),1,99,99,0.2,0,0.9,0,1,1,20.1,7,,,,,,
Hart County,  (-85.88446618880064 37.299708518496466),22.4,77.6,77.6,4.3,0,18.2,0,22.4,100,23,7.6,,,,,,
Teton County,  (-111.20787123906078 43.75992379540163),71.8,28.2,28.2,36.7,0,35.1,0,71.8,100,11.6,5,,,,,,
Kossuth County,  (-94.20689787012935 43.20413984122871),64.9,35.1,35.1,1.8,0,63.1,0,64.9,74.6,9.6,3.2,,,,,,
Jersey County,  (-90.35679229841394 39.085574803088605),16.8,83.2,83.2,10.4,5.9,0.5,0,16.8,100,11.6,8.1,,,,,,
Webster County,  (-98.50021622883635 40.17643706467521),45.7,54.3,54.3,4.8,40.7,0.2,0,45.7,68.8,12.7,3.7,,,,,,
Liberty County,  (-94.81225285351401 30.151611463651363),25.8,74.2,74.2,0.7,0,23.1,2,25.8,27,17.4,8.1,,,,,,
Churchill County,  (-118.3362580862608 39.58048344793016),87.9,12.1,12.1,0,0,87.9,0,87.9,100,13.2,8.2,,,,,,
Edmunds County,  (-99.2154093915925 45.41847897686376),93.4,6.6,6.6,6.5,16.4,70.5,0,93.4,93.4,10.5,3.2,,,,,,
Phillips County,  (-107.91385182279686 48.259426651403096),47.4,52.6,52.6,7,1,39.4,0,47.4,100,15.7,5.8,,,,,,
Polk County,  (-94.22791229508083 34.48595315208391),16.1,83.9,81.3,18.2,0,0.6,0,18.8,100,22,7.9,,,,,,
Amelia County,  (-77.97527469507787 37.33550025318835),34.3,65.7,65.7,34.3,0,0,0,34.3,100,12.9,5.5,,,,,,
Elk County,  (-96.24370891422707 37.4533832396965),0,100,100,0,0,0,0,0,63.4,17.4,5.1,,,,,,
Brown County,  (-88.00366601824979 44.45250100322342),93.2,6.8,6.2,0.7,92.2,0.9,0,93.8,100,12,6,,,,,,
Monroe County,  (-90.17743157260209 38.278539505820234),91.5,8.5,8.5,10.8,12.2,68.6,0,91.5,100,5.1,6.6,,,,,,
Jones County,  (-91.1313964070426 42.12118608809487),71.8,28.2,28.2,4.4,3.7,61.5,2.2,71.8,73.2,11.6,5.5,,,,,,
Osceola County,  (-81.14924252505638 28.062458748229023),100,0,0,0,0,94.1,5.9,100,100,19.3,7.5,,,,,,
Sanders County,  (-115.13330939525515 47.67490166312441),0,100,100,0,0,0,0,0,100,20.7,12.6,,,,,,
Leelanau County,  (-85.8122056060008 44.93943423653424),82.5,17.5,17.5,0,0,82.5,0,82.5,98.2,8.9,8.3,,,,,,
Caledonia County,  (-72.10243366592516 44.46487758425305),77.9,22.1,22.1,0,0,77.9,0,77.9,100,13.9,5.3,,,,,,
Madison County,  (-82.70612535068166 35.85793329416957),100,0,0,38.9,0,61.1,0,100,100,19.9,7,,,,,,
Crawford County,  (-90.93068567260693 43.23966086722258),56.4,43.6,41,2.7,0.1,44.2,11.9,59,100,14.7,7.4,,,,,,
Middlesex County,  (-72.53548230303055 41.463584120890815),98,2,2,0,0.2,97.7,0,98,100,7.9,6.7,,,,,,
Price County,  (-90.36154528482197 45.680542455574404),27.7,72.3,69.4,4.8,2.8,22.9,0,30.6,100,13,6.4,,,,,,
Ozark County,  (-92.44469447393884 36.649222534996355),0,100,100,0,0,0,0,0,0,22.3,7.6,,,,,,
La Crosse County,  (-91.11543876206467 43.906639799966214),96.6,3.4,2.9,0.8,0.2,96.1,0,97.1,100,12.6,5.2,,,,,,
Dawes County,  (-103.13544231294222 42.72007965371717),11.7,88.3,33.5,0.2,55.9,0,10.4,66.5,11.7,18.8,4,,,,,,
Carroll County,  (-80.73317673290065 36.731307041850506),65.3,34.7,32.5,2.2,11,54.3,0,67.5,100,17,8.1,,,,,,
Montmorency County,  (-84.12740152079729 45.027582851966365),10.1,89.9,89.9,8.8,0,1.4,0,10.1,10.1,15.7,15.3,,,,,,
Cabarrus County,  (-80.55133048331656 35.38756941632089),99.8,0.2,0.2,1.6,98.3,0,0,99.8,100,12.2,7.4,,,,,,
Carroll County,  (-89.93380815524043 42.067946586037365),67.6,32.4,30,2.4,0,67.6,0,70,100,12.6,8.9,,,,,,
Stoddard County,  (-89.94436037820788 36.855654642648986),37.2,62.8,62.8,23.3,13.9,0,0,37.2,37.2,19,7.1,,,,,,
Lake County,  (-81.2371292099595 41.696892653754105),99.7,0.3,0.3,0.1,99.6,0,0,99.7,99.7,8.9,6.9,,,,,,
Lincoln County,  (-90.45417438252518 31.53240134906442),47,53,53,0.6,46.3,0,0,47,100,21.6,8.3,,,,,,
Childress County,  (-100.20777438429424 34.52929885403454),6.3,93.7,93.7,0,0,1,5.3,6.3,6.7,22,5.2,,,,,,
Garfield County,  (-107.90362052697218 39.599419778732084),78.1,21.9,21.9,0.2,0.1,77.8,0,78.1,99.7,10.2,6.8,,,,,,
Placer County,  (-120.71784598709596 39.06347096958021),87.6,12.4,12.4,0.1,2.6,75.5,9.4,87.6,92.9,8.3,7.6,,,,,,
Citrus County,  (-82.47793438158145 28.848736618732893),90.2,9.8,7.3,3.3,1,88.4,0,92.7,90.2,20.1,8.4,,,,,,
Ellis County,  (-99.75451142723168 36.21835085481096),56.8,43.2,24.7,18.5,56.8,0,0,75.3,57.5,12,2.6,,,,,,
Colfax County,  (-97.08635899992103 41.5740438640433),25,75,75,0,25,0,0,25,76.5,10.3,3.4,,,,,,
Bullitt County,  (-85.69808752694814 37.97000784553912),98.6,1.4,1.4,2.7,95.8,0,0,98.6,100,12.3,7.8,,,,,,
Jefferson County,  (-88.77532763154427 43.02053192142703),85.5,14.5,13.6,1,5.1,77,3.4,86.4,100,10.6,7,,,,,,
Swain County,  (-83.4921875961925 35.48677176348151),46.5,53.5,53.5,0,46.5,0,0,46.5,100,19.3,11.4,,,,,,
Hancock County,  (-89.48847813712393 30.415953951991174),66.1,33.9,33.9,3,24.8,38.3,0,66.1,100,19.8,8.2,,,,,,
Howard County,  (-101.4356444092873 32.306213242618114),87.7,12.3,7.5,4.8,0,64,23.7,92.5,99.6,17.5,5.7,,,,,,
Throckmorton County,  (-99.21226795235106 33.177514165122275),60,40,40,52.7,7.3,0,0,60,61.8,14.2,4.5,,,,,,
Clarke County,  (-93.78516214619466 41.02892087230929),92.9,7.1,7.1,19.9,15.6,57.5,0,92.9,92.9,14.4,5.5,,,,,,
Coosa County,  (-86.24789409050666 32.93629559818888),79.1,20.9,20,2,0.2,77.9,0,80,100,18.8,8.1,,,,,,
Jasper County,  (-81.03177637893198 32.436331968231016),5.1,94.9,80.4,17.1,0.9,1.6,0,19.6,100,24.5,7.1,,,,,,
Stephens County,  (-97.85148898593 34.48542286259075),69.5,30.5,27.3,3.4,66.1,3.3,0,72.7,70.7,15.5,4.9,,,,,,
Morgan County,  (-111.57344511552385 41.08889094059452),16,84,82.9,1.6,2.6,12.9,0,17.1,100,4.6,3.9,,,,,,
Washita County,  (-98.99166620736611 35.2903175876839),44.9,55.1,54.7,13.1,32.2,0,0,45.3,44.9,13.9,3.8,,,,,,
Decatur County,  (-84.57956819715784 30.878078643200922),64.9,35.1,35.1,1.6,0,63.3,0,64.9,100,27.7,10.6,,,,,,
Sioux County,  (-103.75881375263846 42.48797314776656),13.3,86.7,86.7,4.7,7.6,0,1,13.3,100,16,3.7,,,,,,
Hamilton County,  (-93.70672501986078 42.3839537715859),80.5,19.5,19.5,22.3,0,58.2,0,80.5,95,9.4,5.8,,,,,,
Toole County,  (-111.69595010905877 48.655344849134465),0.8,99.2,99.2,0,0.8,0,0,0.8,100,17.2,4.2,,,,,,
Menominee County,  (-88.70957298088304 45.00428348034402),0.3,99.7,99.7,0,0,0.3,0,0.3,100,29.1,14.1,,,,,,
Pope County,  (-93.03400144954075 35.44769480184688),86.5,13.5,6.1,7.4,8.7,56.5,21.3,93.9,100,18.3,7.8,,,,,,
North Slope Borough,  (-153.4702535660555 69.31507515901795),0,100,100,0,0,0,0,0,0,11.5,5,,,,,,
Livingston Parish,  (-90.72765311413816 30.44023060910557),98.5,1.5,1.5,0,0,98.5,0,98.5,100,12.3,5.4,,,,,,
Taylor County,  (-85.32791474102724 37.366606648565735),98.8,1.2,1.2,15,0,83.9,0,98.8,100,26.7,7.8,,,,,,
Menard County,  (-99.82047939886135 30.889906654882974),0,100,100,0,0,0,0,0,0,22.7,6,,,,,,
Upshur County,  (-80.23353246847844 38.89780569561105),54.9,45.1,45.1,0.5,36.9,0,17.5,54.9,100,19.7,6.3,,,,,,
Caddo County,  (-98.37502406702681 35.174376417805746),17,83,82,11.4,4.5,0,2.1,18,19.9,23.5,6,,,,,,
Union County,  (-118.00935562380927 45.3103908410362),71.9,28.1,28.1,0,0,71.9,0,71.9,71.9,17.7,8.2,,,,,,
Sheridan County,  (-104.50469319998842 48.72121162756),30.5,69.5,69.5,30.5,0,0,0,30.5,100,10.2,3.1,,,,,,
Nassau County,  (-73.58622623143837 40.73761781918221),100,0,0,0,0,100,0,100,100,6.7,5.9,,,,,,
Casey County,  (-84.92860405040061 37.322080020921334),90.1,9.9,9.9,54.5,35.7,0,0,90.1,100,30.6,8.5,,,,,,
Cheatham County,  (-87.08648325838033 36.26140435134778),84.5,15.5,15.5,0.1,0,84.4,0,84.5,100,12.7,6.6,,,,,,
Franklin County,  (-72.59174125013375 42.58309230646274),78.4,21.6,21.6,0,11.2,67.2,0,78.4,100,12,6.6,,,,,,
Trigg County,  (-87.87327173910188 36.806383028728604),68.3,31.7,31.7,0,0.3,68,0,68.3,100,15.8,9.6,,,,,,
Sawyer County,  (-91.14489018589688 45.87995292234021),67.6,32.4,26,13.2,1,59.6,0.1,74,100,17,10,,,,,,
Durham County,  (-78.87606871609238 36.0360532140018),99.3,0.7,0.7,0,99.2,0,0,99.3,100,16.6,6.4,,,,,,
Prairie County,  (-91.55194183722433 34.83010091209982),0.4,99.6,98.6,1,0,0,0.4,1.4,100,18.7,6.8,,,,,,
Santa Cruz County,  (-122.00177416971621 37.056190800456484),100,0,0,6.3,0,93.3,0.4,100,100,16.1,9.5,,,,,,
Pulaski County,  (-84.57709045270205 37.10380837223861),97,3,3,13.2,83.8,0,0,97,100,26,9.5,,,,,,
Owen County,  (-86.83782352413428 39.31262961697934),65.2,34.8,34.8,0,30.1,34.9,0.2,65.2,100,15.4,8.5,,,,,,
San Juan County,  (-109.8043936364903 37.62607487457857),2.9,97.1,97.1,2.9,0,0,0,2.9,100,29.2,9.3,,,,,,
Richmond city,  (-77.47493293333787 37.53041663287008),95.7,4.3,4.3,0,0,95.7,0,95.7,100,25,6.9,,,,,,
Livingston County,  (-77.77517834621976 42.728557514443665),88.9,11.1,11.1,0,88.9,0,0,88.9,88.9,14.7,7.4,,,,,,
Burke County,  (-82.0006667884498 33.06118009587895),70.3,29.7,29.7,0,0,70.3,0,70.3,100,31.1,11.2,,,,,,
Guthrie County,  (-94.50111014204957 41.68378965419248),72.7,27.3,27.2,14.3,0,58.5,0,72.8,75.6,12.4,4.9,,,,,,
Lee County,  (-81.84068840603429 26.578015572041974),92.7,7.3,3.5,4.7,0.7,91,0.2,96.5,92.9,16,7.1,,,,,,
Johnson County,  (-96.26520162863216 40.39252282099186),57.8,42.2,42.2,50.3,7.5,0,0,57.8,96.2,13.9,4,,,,,,
McDowell County,  (-81.65416089155543 37.37857200275725),84.2,15.8,15.8,0,0,84.2,0,84.2,100,34.9,10,,,,,,
Nueces County,  (-97.61091925306103 27.72543779048894),100,0,0,37.7,0.2,62,0,100,100,16.8,5.8,,,,,,
